Name,Email,Phone,Company,Title,Location,Persona,LinkedIn,Years of Experience,Skills,Industry,Seniority,Relevance Score,Apollo ID,Notes
,,,NexStratus,Data Scientist / Data Science Consultant,,Consulting,,,,,,0.00,64758bb200f1120001b76d6d,
,,,Accenture,Data Science and Machine Learning Consultant,,Consulting,,,,,,0.00,61287c0b4395900001756de0,
,,,Independant Consultant,Data Science / Machine Learning Consultant,,Consulting,,,,,,0.00,54a72a2374686975f83f641b,
,,,LinkedIn,Machine Learning Consultant,,Consulting,,,,,,0.00,65d9fb2addd8a00001eb20ac,
,,,Collaborative Drug Discovery - CDD Vault,Machine Learning Consultant,,Consulting,,,,,,0.00,54a6134974686938acd938c0,
,,,EY,Machine Learning Consultant,,Consulting,,,,,,0.00,6913f60d6ab8fa00014a72ae,
,,,Tahoe Therapeutics,Machine Learning Consultant,,Consulting,,,,,,0.00,6635a21838474700019f0eed,
,,,Terminal49,Machine Learning Consultant,,Consulting,,,,,,0.00,6808d02f216e060001222d9b,
,,,Schrödinger,Machine Learning Consultant,,Consulting,,,,,,0.00,5d53f2fa80f93e041f5293cc,
,,,Itty Bitty Labs,ML Consultant,,Consulting,,,,,,0.00,57d42ff0a6da985372f91ac6,
