Name,Email,Phone,Company,Title,Location,Persona,LinkedIn,Years of Experience,Skills,Industry,Seniority,Relevance Score,Apollo ID,Notes
,,,New York University,Research Scientist & Data Analyst,,Social Good,,,,,,0.00,601d66b17c622f00013d724a,
,,,Autodesk,Principal Data Scientist / Research Scientist,,Social Good,,,,,,0.00,5f55ca01939b9700017cdbef,
,,,NEW YORK CITY DEPARTMENT OF HEALTH & MENTAL,Research Scientist/Senior Data Analyst,,Social Good,,,,,,0.00,54a3d2ec7468692fa28bc815,
,,,Partnership HealthPlan of California,Data Scientist | Data Analyst,,Social Good,,,,,,0.00,66fab773e5f3f800012dffca,
,,,NYC Public Schools,Data Analyst/Data Scientist,,Social Good,,,,,,0.00,6680431b4f3fa5000175e178,
,,,Evernorth Health Services,Data Scientist | Data Analyst,,Social Good,,,,,,0.00,60d3065af50ef80001776d47,
,,,Big Fish Games,Data Analyst | Data Scientist,,Social Good,,,,,,0.00,5fdc54812c19eb0001a717f0,
,,,M&T Bank,Data Scientist | Data Analyst,,Social Good,,,,,,0.00,5ffb8f548e1ec1000191fb14,
,,,Accenture,Data Scientist | Data Analyst,,Social Good,,,,,,0.00,57da2849a6da985b91369ed0,
,,,Lumen Technologies,Data Scientist & Data Analyst,,Social Good,,,,,,0.00,66fb33118aba0a000137d280,
